,Tamb,Tdc_in,qdc,wdc
421,17.666666666666664,43.166666666666664,690.0,28.636000000000003
422,17.666666666666664,43.166666666666664,690.0,46.272000000000006
423,17.666666666666664,43.166666666666664,690.0,63.90800000000001
424,17.666666666666664,43.166666666666664,690.0,81.54400000000001
425,17.666666666666664,43.166666666666664,690.0,99.18
426,17.666666666666664,43.166666666666664,1035.0,11.0
427,17.666666666666664,43.166666666666664,1035.0,28.636000000000003
428,17.666666666666664,43.166666666666664,1035.0,46.272000000000006
429,17.666666666666664,43.166666666666664,1035.0,63.90800000000001
430,17.666666666666664,43.166666666666664,1035.0,81.54400000000001
431,17.666666666666664,43.166666666666664,1035.0,99.18
432,17.666666666666664,43.166666666666664,1380.0,11.0
433,17.666666666666664,43.166666666666664,1380.0,28.636000000000003
434,17.666666666666664,43.166666666666664,1380.0,46.272000000000006
435,17.666666666666664,43.166666666666664,1380.0,63.90800000000001
436,17.666666666666664,43.166666666666664,1380.0,81.54400000000001
437,17.666666666666664,43.166666666666664,1380.0,99.18
438,17.666666666666664,43.166666666666664,1725.0,11.0
439,17.666666666666664,43.166666666666664,1725.0,28.636000000000003
440,17.666666666666664,43.166666666666664,1725.0,46.272000000000006
441,17.666666666666664,43.166666666666664,1725.0,63.90800000000001
442,17.666666666666664,43.166666666666664,1725.0,81.54400000000001
443,17.666666666666664,43.166666666666664,1725.0,99.18
444,17.666666666666664,43.166666666666664,2070.0,11.0
445,17.666666666666664,43.166666666666664,2070.0,28.636000000000003
446,17.666666666666664,43.166666666666664,2070.0,46.272000000000006
447,17.666666666666664,43.166666666666664,2070.0,63.90800000000001
448,17.666666666666664,43.166666666666664,2070.0,81.54400000000001
449,17.666666666666664,43.166666666666664,2070.0,99.18
450,17.666666666666664,43.166666666666664,2415.0,11.0
451,17.666666666666664,43.166666666666664,2415.0,28.636000000000003
452,17.666666666666664,43.166666666666664,2415.0,46.272000000000006
453,17.666666666666664,43.166666666666664,2415.0,63.90800000000001
454,17.666666666666664,43.166666666666664,2415.0,81.54400000000001
455,17.666666666666664,43.166666666666664,2415.0,99.18
456,17.666666666666664,43.166666666666664,2760.0,11.0
457,17.666666666666664,43.166666666666664,2760.0,28.636000000000003
458,17.666666666666664,43.166666666666664,2760.0,46.272000000000006
459,17.666666666666664,43.166666666666664,2760.0,63.90800000000001
460,17.666666666666664,43.166666666666664,2760.0,81.54400000000001
461,17.666666666666664,43.166666666666664,2760.0,99.18
462,25.0,28.0,690.0,11.0
463,25.0,28.0,690.0,28.636000000000003
464,25.0,28.0,690.0,46.272000000000006
465,25.0,28.0,690.0,63.90800000000001
466,25.0,28.0,690.0,81.54400000000001
467,25.0,28.0,690.0,99.18
468,25.0,28.0,1035.0,11.0
469,25.0,28.0,1035.0,28.636000000000003
470,25.0,28.0,1035.0,46.272000000000006
471,25.0,28.0,1035.0,63.90800000000001
472,25.0,28.0,1035.0,81.54400000000001
473,25.0,28.0,1035.0,99.18
474,25.0,28.0,1380.0,11.0
475,25.0,28.0,1380.0,28.636000000000003
476,25.0,28.0,1380.0,46.272000000000006
477,25.0,28.0,1380.0,63.90800000000001
478,25.0,28.0,1380.0,81.54400000000001
479,25.0,28.0,1380.0,99.18
480,25.0,28.0,1725.0,11.0
481,25.0,28.0,1725.0,28.636000000000003
482,25.0,28.0,1725.0,46.272000000000006
483,25.0,28.0,1725.0,63.90800000000001
484,25.0,28.0,1725.0,81.54400000000001
485,25.0,28.0,1725.0,99.18
486,25.0,28.0,2070.0,11.0
487,25.0,28.0,2070.0,28.636000000000003
488,25.0,28.0,2070.0,46.272000000000006
489,25.0,28.0,2070.0,63.90800000000001
490,25.0,28.0,2070.0,81.54400000000001
491,25.0,28.0,2070.0,99.18
492,25.0,28.0,2415.0,11.0
493,25.0,28.0,2415.0,28.636000000000003
494,25.0,28.0,2415.0,46.272000000000006
495,25.0,28.0,2415.0,63.90800000000001
